Id,countryCode,stateName,StateCode
2000,IN/IND,Andaman and Nicobar Islands,AN
2001,IN/IND,Andra Pradesh,AP
2002,IN/IND,Arunachal Pradesh,AR
2003,IN/IND,Assam,AS
2004,IN/IND,Bihar,BR
2005,IN/IND,Chandigarh,CG
2006,IN/IND,Chhattisgarh,CH
2007,IN/IND,Dadar and Nagar Haveli,DN
2008,IN/IND,Daman and Diu,DD
2009,IN/IND,Delhi,DL
2010,IN/IND,Goa,GA
2011,IN/IND,Gujarat,GJ
2012,IN/IND,Haryana,HR
2013,IN/IND,Himachal Pradesh,HP
2014,IN/IND,Jammu and Kashmir,JK
2015,IN/IND,Jharkhand,JH
2016,IN/IND,Karnataka,KA
2017,IN/IND,Kerala,KL
2018,IN/IND,Lakshadeep,LD
2019,IN/IND,Madya Pradesh,MP
2020,IN/IND,Maharashtra,MH
2021,IN/IND,Manipur,MN
2022,IN/IND,Meghalaya,ML
2023,IN/IND,Mizoram,MZ
2024,IN/IND,Nagaland,NL
2025,IN/IND,Orissa,OR
2026,IN/IND,Pondicherry,PY
2027,IN/IND,Punjab,PB
2028,IN/IND,Rajasthan,RJ
2029,IN/IND,Sikkim,SK
2030,IN/IND,Tamil Nadu,TN
2031,IN/IND,Tripura,TR
2033,IN/IND,Uttar Pradesh,UP
2034,IN/IND,Uttaranchal,UT
2035,IN/IND,UttraKhand,UK
2036,IN/IND,West Bengal,WB
3200,US/USA,Alabama,AL
3291,US/USA,Alaska,AK
3292,US/USA,Arizona,AZ
3293,US/USA,Arkansas,AR
3294,US/USA,California,CA
3295,US/USA,Colorado,CO
3296,US/USA,Connecticut,CT
3297,US/USA,Delaware,DE
3298,US/USA,District of Columbia,DC
3299,US/USA,Florida,FL
3300,US/USA,Georgia,GA
3301,US/USA,Hawaii,HI
3302,US/USA,Idaho,ID
3303,US/USA,Illinois,IL
3304,US/USA,Indiana,IN
3305,US/USA,Iowa,IA
3306,US/USA,Kansas,KS
3307,US/USA,Kentucky,KY
3308,US/USA,Louisiana,LA
3309,US/USA,Maine,ME
3310,US/USA,Maryland,MD
3311,US/USA,Massachusetts,MA
3312,US/USA,Michigan,MI
3313,US/USA,Minnesota,MN
